zipcode,day,neighborhood_name,borough_group,positive,covid_case_rate,covid_death_count,covid_death_rate,incidence_rate,newcases,pop_denominator
10001,2020-08-01,Chelsea/NoMad/West Chelsea,Manhattan,420,1782.45,25,106.1,-4.243941773118873,-1,23563
10002,2020-08-01,Chinatown/Lower East Side,Manhattan,1237,1611.61,160,208.45,5.211386880333529,4,76755
10003,2020-08-01,East Village/Gramercy/Greenwich Village,Manhattan,516,959.08,34,63.2,0,0,53802
10004,2020-08-01,Financial District,Manhattan,39,1068.32,1,27.39,0,0,3651
10005,2020-08-01,Financial District,Manhattan,81,964.73,2,23.82,23.820867079561694,2,8396
10006,2020-08-01,Financial District,Manhattan,36,1041.13,0,0,0,0,3458
10007,2020-08-01,TriBeCa,Manhattan,71,860.63,3,36.36,0,0,8250
10009,2020-08-01,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,796,1354.94,69,117.45,5.106556818955539,3,58748
10010,2020-08-01,Flatiron/Gramercy/Kips Bay,Manhattan,310,957.62,19,58.69,0,0,32372
10011,2020-08-01,Chelsea,Manhattan,597,1206.05,43,86.87,0,0,49501
10012,2020-08-01,Greenwich Village/SoHo,Manhattan,193,804.8,9,37.53,4.1699678912472375,1,23981
10013,2020-08-01,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,306,1054.04,21,72.34,0,0,29031
10014,2020-08-01,Hudson Square/Meatpacking District/West Village,Manhattan,360,1159.68,29,93.42,0,0,31043
10016,2020-08-01,Kips Bay/Murray Hill/NoMad,Manhattan,800,1523.1,49,93.29,1.903891554337065,1,52524
10017,2020-08-01,East Midtown/Murray Hill,Manhattan,162,1004.51,8,49.61,12.401562596887208,2,16127
10018,2020-08-01,Hell's Kitchen/Midtown Manhattan,Manhattan,245,2570.44,5,52.46,10.492078480747036,1,9531
10019,2020-08-01,Hell's Kitchen/Midtown Manhattan,Manhattan,670,1648.97,42,103.37,2.4611749649282566,1,40631
10021,2020-08-01,Lenox Hill/Upper East Side,Manhattan,616,1394.43,64,144.88,0,0,44176
10022,2020-08-01,East Midtown,Manhattan,381,1255.98,31,102.19,3.296522169111587,1,30335
10023,2020-08-01,Lincoln Square,Manhattan,622,1031.94,54,89.59,6.6362505184570715,4,60275
10024,2020-08-01,Upper West Side,Manhattan,800,1395.24,75,130.8,1.7440440894345808,1,57338
10025,2020-08-01,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1485,1608.3,176,190.61,2.166072801706865,2,92333
10026,2020-08-01,Central Harlem (South),Manhattan,721,1847.86,47,120.46,10.251678712389154,4,39018
10027,2020-08-01,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1147,1802.58,113,177.59,9.429366189435965,6,63631
10028,2020-08-01,Upper East Side/Yorkville,Manhattan,519,1055.84,33,67.13,0,0,49155
10029,2020-08-01,East Harlem,Manhattan,1945,2466.97,212,268.89,3.8050785114532863,3,78842
10030,2020-08-01,Central Harlem (North),Manhattan,553,1885.96,55,187.57,3.41040856694632,1,29322
10031,2020-08-01,Hamilton Heights/West Harlem,Manhattan,1450,2394.44,132,217.98,3.3026735142097525,2,60557
10032,2020-08-01,Washington Heights (South),Manhattan,1680,2732.04,174,282.96,3.252402712503862,2,61493
10033,2020-08-01,Washington Heights (North)/Washington Heights (South),Manhattan,1461,2467.47,120,202.67,1.688903901368012,1,59210
10034,2020-08-01,Inwood/Washington Heights (North),Manhattan,814,1889.79,71,164.83,4.643172215257464,2,43074
10035,2020-08-01,East Harlem,Manhattan,1098,3189.39,134,389.23,2.9046968948790193,1,34427
10036,2020-08-01,Hell's Kitchen/Midtown Manhattan,Manhattan,498,1899.95,40,152.61,3.8151920949219793,1,26211
10037,2020-08-01,Central Harlem (North)/East Harlem,Manhattan,560,2711.91,62,300.25,0,0,20650
10038,2020-08-01,Chinatown/Financial District,Manhattan,275,1247.28,28,127,0,0,22048
10039,2020-08-01,Central Harlem (North)/Washington Heights (South),Manhattan,582,2199.75,64,241.9,7.559150351500492,2,26458
10040,2020-08-01,Washington Heights (North),Manhattan,1229,2742.8,118,263.34,2.231744331369398,1,44808
10044,2020-08-01,Roosevelt Island,Manhattan,253,2162.34,36,307.68,8.547008547008547,1,11700
10065,2020-08-01,Lenox Hill/Upper East Side,Manhattan,345,1187.14,28,96.35,3.4410378170056086,1,29061
10069,2020-08-01,Lincoln Square,Manhattan,65,1025.54,2,31.56,0,0,6338
